FID,MUN_CD_MUN,MUN_NM_MUN,MUN_UF,MUN_NM_PRE,MUN_SIGLA_,MUN_POPU_2,MUN_ICS,MUN_IFSUTI,MUN_ISCST,MUN_C_GERA,MUN_C_REMA,MUN_EFIC_1,MUN_ICT_FI
5268,4313003,Nova Bréscia,RS,Prefeitura Municipal de Nova Bréscia,PM,1571,6.15486432826,25.0827266711,68.762409001,84,72,15.049636003,0
5269,4313011,Nova Candelária,RS,Prefeitura Municipal de Nova Candelária,PM,727,3.24400564175,88.0112834979,8.74471086,39,18,52.806770099,0
5270,4313037,Nova Esperança do Sul,RS,Companhia Rio-Grandense de Saneamento,CORSAN,3823,16.337871631,4.08446790775,79.577660461,206,201,2.450680745,0
5271,4313060,Nova Hartz,RS,Prefeitura Municipal de Nova Hartz,PM,16329,50.1670050429,47.7896391381,2.043355819,881,628,28.673783483,0
5272,4313086,Nova Pádua,RS,Prefeitura Municipal de Nova Pádua,PM,760,74.1803278689,17.6229508197,8.196721311,41,36,10.573770492,0
5273,4313102,Nova Palma,RS,Companhia Rio-Grandense de Saneamento,CORSAN,3193,9.92539734025,81.8358741486,8.238728511,172,87,49.101524489,0
5274,4313201,Nova Petrópolis,RS,Companhia Rio-Grandense de Saneamento,CORSAN,14936,2.80882977218,92.1678222725,5.023347955,806,360,55.300693363,0
5275,4313300,Nova Prata,RS,Companhia Rio-Grandense de Saneamento,CORSAN,20020,31.7862693606,56.262393483,11.951337156,1081,716,33.75743609,0
5276,4313334,Nova Ramada,RS,Prefeitura Municipal de Nova Ramada,PM,678,2.68656716418,8.80597014925,88.507462687,36,34,5.28358209,0
5277,4313359,Nova Roma do Sul,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1669,56.9085173502,13.5015772871,29.589905363,90,82,8.100946372,0
5278,4313375,Nova Santa Rita,RS,Companhia Rio-Grandense de Saneamento,CORSAN,21312,34.0487804878,31.3889602054,34.562259307,1150,934,18.833376123,0
5279,4313391,Novo Cabrais,RS,Prefeitura Municipal de Novo Cabrais,PM,572,12.1100917431,84.9541284404,2.935779817,30,15,50.972477064,0
5280,4313409,Novo Hamburgo,RS,COMUSA - Serviços de Água e Esgoto de Novo Hamburgo,COMUSA,238940,54.8015230113,34.8401604784,7.776045793,12902,9931,23.025477335,2.58227071781
5281,4313425,Novo Machado,RS,Prefeitura Municipal de Novo Machado,PM,1546,0,3.92788151964,96.07211848,83,81,2.356728912,0
5282,4313441,Novo Tiradentes,RS,Prefeitura Municipal de Novo Tiradentes,PM,669,0,24.7706422018,75.229357798,36,30,14.862385321,0
5283,4313466,Novo Xingu,RS,Prefeitura Municipal de Novo Xingu,PM,568,0,25.0902527076,74.909747292,30,26,15.054151625,0
5284,4313490,Novo Barreiro,RS,Prefeitura Municipal de Novo Barreiro,PM,1359,0,3.90505359877,96.094946401,73,71,2.343032159,0
5285,4313508,Osório,RS,Companhia Rio-Grandense de Saneamento,CORSAN,40095,41.2585383865,31.6427987446,27.098662869,2165,1754,18.985679247,0
5286,4313607,Paim Filho,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2271,7.5011096316,38.8814913449,53.617399024,122,94,23.328894807,0
5287,4313656,Palmares do Sul,RS,Companhia Rio-Grandense de Saneamento,CORSAN,10163,2.49923492808,87.5650311129,9.935733959,548,260,52.539018668,0
5288,4313706,Palmeira das Missões,RS,Companhia Rio-Grandense de Saneamento,CORSAN,30519,22.4498005431,13.180919178,64.369280279,1648,1517,7.908551507,0
5289,4313805,Palmitinho,RS,Companhia Rio-Grandense de Saneamento,CORSAN,3509,17.4476864132,37.400530504,45.151783083,189,146,22.440318302,0
5290,4313904,Panambi,RS,Companhia Rio-Grandense de Saneamento,CORSAN,36724,6.87460216423,56.463746311,36.661651525,1983,1311,33.878247787,0
5291,4313953,Pantano Grande,RS,Companhia Rio-Grandense de Saneamento,CORSAN,8427,0,11.1739235025,15.949001684,455,424,6.704354102,72.8770748136
5292,4314001,Paraí,RS,Companhia Rio-Grandense de Saneamento,CORSAN,4035,31.9182389937,43.3176100629,24.764150943,217,161,25.990566038,0
5293,4314027,Paraíso do Sul,RS,Prefeitura Municipal de Paraíso do Sul,PM,2960,3.26086956522,57.8541374474,38.884992987,159,104,34.712482468,0
5294,4314035,Pareci Novo,RS,Prefeitura Municipal de Pareci Novo,PM,1030,0.40774719674,98.6748216106,0.917431193,55,22,59.204892966,0
5295,4314050,Parobé,RS,Prefeitura Municipal de Parobé,PM,51557,69.4734028335,21.5820533383,8.944543828,2784,2423,12.949232003,0
5296,4314068,Passa Sete,RS,Prefeitura Municipal de Passa Sete,PM,584,1.44144144144,43.2432432432,55.315315315,31,23,25.945945946,0
5297,4314076,Passo do Sobrado,RS,Prefeitura Municipal de Passo do Sobrado,PM,1499,4.40867739678,94.7515745276,0.839748076,80,34,56.850944717,0
5298,4314100,Passo Fundo,RS,Companhia Rio-Grandense de Saneamento,CORSAN,189481,2.5614170553,17.9619142794,44.699644681,10231,5869,42.637821372,34.777023984
5299,4314134,Paulo Bento,RS,Prefeitura Municipal de Paulo Bento,PM,618,0.6734006734,56.734006734,42.592592593,33,22,34.04040404,0
